Solved n=75, m=300, budget=1, density=4.00, rep=1, flow_demand=1, objective=51.00, mip_solve_time=0.0570
Solved n=75, m=300, budget=1, density=4.00, rep=2, flow_demand=1, objective=36.00, mip_solve_time=0.0565
Solved n=75, m=300, budget=1, density=4.00, rep=3, flow_demand=1, objective=30.00, mip_solve_time=0.0946
Solved n=75, m=300, budget=1, density=4.00, rep=4, flow_demand=1, objective=25.00, mip_solve_time=0.0608
Solved n=75, m=300, budget=1, density=4.00, rep=5, flow_demand=1, objective=37.00, mip_solve_time=0.0569
Solved n=75, m=300, budget=1, density=4.00, rep=6, flow_demand=1, objective=34.00, mip_solve_time=0.0554
Solved n=75, m=300, budget=1, density=4.00, rep=7, flow_demand=1, objective=38.00, mip_solve_time=0.0872
Solved n=75, m=300, budget=1, density=4.00, rep=8, flow_demand=1, objective=49.00, mip_solve_time=0.0569
Solved n=75, m=300, budget=1, density=4.00, rep=9, flow_demand=1, objective=60.00, mip_solve_time=0.1312
Solved n=75, m=300, budget=1, density=4.00, rep=10, flow_demand=1, objective=21.00, mip_solve_time=0.0621
Solved n=75, m=300, budget=1, density=4.00, rep=11, flow_demand=1, objective=39.00, mip_solve_time=0.0581
Solved n=75, m=300, budget=1, density=4.00, rep=12, flow_demand=1, objective=34.00, mip_solve_time=0.0966
Solved n=75, m=300, budget=1, density=4.00, rep=13, flow_demand=1, objective=72.00, mip_solve_time=0.0950
Solved n=75, m=300, budget=1, density=4.00, rep=14, flow_demand=1, objective=62.00, mip_solve_time=0.0898
